2635.json	FALSE	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	Texas	republican	0	1	0	0	0	a mailer
324.json	mostly-true	Hillary Clinton agrees with John McCain "by voting to give George Bush the benefit of the doubt on Iran."	foreign-policy	barack-obama	President	Illinois	democrat	70	71	160	163	9	Denver
1123.json	FALSE	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	blog-posting			none	7	19	3	5	44	a news release
12465.json	TRUE	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0	3	2	5	1	a an online opinion-piece
9741.json	mostly-true	Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.	"energy,message-machine-2014,voting-record"	duey-stroebel	State representative	Wisconsin	republican	0	0	0	1	0	an online video
7115.json	mostly-true	"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."	elections	robert-menendez	U.S. Senator	New Jersey	democrat	1	3	1	3	0	a speech
5947.json	FALSE	"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."	"history,state-budget"	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	an interview with CBN News
8616.json	mostly-true	The economy bled $24 billion due to the government shutdown.	"economy,federal-budget,health-care"	doonesbury			none	0	0	2	4	0	a Doonesbury strip in the Sunday comics
620.json	TRUE	McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	a radio ad
12385.json	mostly-true	"Almost 100,000 people left Puerto Rico last year."	"bankruptcy,economy,population"	jack-lew	Treasury secretary 	"Washington, D.C. "	democrat	0	1	0	1	0	an interview with Bloomberg News
10173.json	FALSE	Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.	"economy,income"	dennis-richardson	state representative	Oregon	republican	0	4	1	2	0	a campaign debate
9867.json	mostly-true	The United States has the highest corporate tax rate in the free world.	"corporations,taxes"	eric-bolling	Co-host on Fox News Channel's "The Five"		none	2	1	1	1	0	a discussion on Fox News' "The Five"
12408.json	mostly-true	We just had the best year for the auto industry in America in history.	economy	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	remarks at a Kentucky rally
10215.json	FALSE	I dont know who (Jonathan Gruber) is.	health-care	nancy-pelosi	House Minority Leader	California	democrat	3	7	11	2	3	a news conference
12517.json	mostly-true	Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.	"crime,diversity,homeland-security,terrorism"	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a speech after a terrorist attack in Orlando
11092.json	FALSE	"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."	"technology,terrorism"	pamela-geller	President of American Freedom Defense Intitiative	New York	activist	0	1	1	0	0	a tweet 
12163.json	mostly-true	Youth unemployment in minority communities is about 40 to 45 percent.	"diversity,economy,jobs"	peter-kinder	Lieutenant governor	Missouri	republican	0	0	0	1	1	a gubernatorial debate
13237.json	TRUE	Says Paul Ryan is still endorsing Trump.	"candidates-biography,elections,campaign-advertising"	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a tweet
9727.json	FALSE	What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.	"climate-change,energy,environment,government-regulation"	shelley-moore-capito	U.S. House of Representative	West Virginia	republican	1	1	0	0	0	a campaign ad
8239.json	mostly-true	We cut business taxes so today 70 percent of our businesses dont pay a business tax.	"small-business,taxes"	rick-scott	Governor	Florida	republican	28	23	38	34	7	a speech at an Americans for Prosperity Foundation conference
10121.json	mostly-true	Says Mark Pryor votes with Obama 93 percent of the time.	"bipartisanship,voting-record"	tom-cotton	U.S. House of Representatives	Arkansas	republican	3	4	2	3	1	a debate
